EnteredTimestamp,EventTimestamp,EnteredBy,CounterpartyViewCode,ExchangeAccountCode,InstrumentViewCode,BuySell,BuySellQualifier,OrderValue,OrderPrice,OrderStatus,VolumeDone,AveragePrice,VolumeLeft,MarketId,OrderNotes,RouteId,ExchangeOrderId,OrderFlags,ErrorText,CompletionReason,ExpiryTimestamp,ExpiryType,OrderId,OrderVersion,ParentOrderId,Currency,StartOfDayQty,GrossPriceToday,VolumeDoneToday,TradeAmountToday
20180626 09:33:37.310065 +0800 ,20180626 09:33:37.367757 +0800 ,chweepeng,CROSS-SG,2411,HPHT.SP,S, ,300.0,0.26,C,300.0,0.26,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CD9,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471535DOSG1,1,00010117734ORHK1,USD,300.0,0.2600,300.0,78.0
20180626 09:33:43.235068 +0800 ,20180626 09:33:43.310693 +0800 ,chweepeng,CROSS-SG,2411,HPHT.SP,S, ,1100.0,0.26,C,1100.0,0.26,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CDA,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471536DOSG1,1,00010117735ORHK1,USD,1100.0,0.2600,1100.0,286.0
20180626 09:33:48.118268 +0800 ,20180626 09:33:48.189344 +0800 ,chweepeng,CROSS-SG,2411,HPHT.SP,S, ,300.0,0.26,C,300.0,0.26,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CDB,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471537DOSG1,1,00010117736ORHK1,USD,300.0,0.2600,300.0,78.0
20180626 09:34:01.177928 +0800 ,20180626 09:34:01.274168 +0800 ,chweepeng,CROSS-SG,2411,GGR.SP,S, ,1200.0,0.29,C,1200.0,0.29,0.0,SES-MAIN,EX:UAT test order,DIRECT,6145590100010CDC,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471538DOSG1,1,00010117737ORHK1,SGD,1200.0,0.2900,1200.0,348.0
20180626 09:35:58.456368 +0800 ,20180626 09:35:59.638539 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CDF,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471541DOSG1,1,ITGS11800724-20180626,SGD,5000.0,,0,0
20180626 09:36:01.786345 +0800 ,20180626 09:36:02.921033 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CE1,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471542DOSG1,1,ITGS11800726-20180626,SGD,5000.0,,0,0
20180626 09:36:04.314793 +0800 ,20180626 09:36:05.472181 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CE3,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471543DOSG1,1,ITGS11800730-20180626,SGD,5000.0,,0,0
20180626 09:36:06.847413 +0800 ,20180626 09:36:08.017370 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CE5,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471544DOSG1,1,ITGS11800736-20180626,SGD,5000.0,,0,0
20180626 09:36:09.366018 +0800 ,20180626 09:36:10.556634 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CE7,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471545DOSG1,1,ITGS11800738-20180626,SGD,5000.0,,0,0
20180626 09:36:11.864847 +0800 ,20180626 09:36:13.028879 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CE9,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471546DOSG1,1,ITGS11800740-20180626,SGD,5000.0,,0,0
20180626 09:36:14.421691 +0800 ,20180626 09:36:15.574621 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CEB,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471547DOSG1,1,ITGS11800744-20180626,SGD,5000.0,,0,0
20180626 09:36:16.937236 +0800 ,20180626 09:36:18.113344 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CED,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471548DOSG1,1,ITGS11800748-20180626,SGD,5000.0,,0,0
20180626 09:36:19.431232 +0800 ,20180626 09:36:20.540082 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CEF,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471549DOSG1,1,ITGS11800752-20180626,SGD,5000.0,,0,0
20180626 09:36:21.949084 +0800 ,20180626 09:36:23.074896 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CF1,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471550DOSG1,1,ITGS11800756-20180626,SGD,5000.0,,0,0
