Date,MatchTime,OrderID,Participant,CounterParty,API,AccountID,TraderID,ContractID,TradePrice,TradeSize,BuySell,StockCode,StockName,Market,Currency,Product,OrderValidity,OrderQty,BalanceQty,MarriedTrade,CustomerInfo
2018-06-26,09:33:37,6145590100010CD9,252,252,72252B,0002411,108,34,0.26,300,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,300,0,N,00003471535OSG1
2018-06-26,09:33:43,6145590100010CB0,252,252,72252B,0002027,CCC,35,0.26,1100,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,5000,2000,N,00003471504OSG1
2018-06-26,09:33:43,6145590100010CDA,252,252,72252B,0002411,108,35,0.26,1100,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,1100,0,N,00003471536OSG1
2018-06-26,09:33:48,6145590100010CB0,252,252,72252B,0002027,CCC,36,0.26,300,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,5000,1700,N,00003471504OSG1
2018-06-26,09:33:48,6145590100010CDB,252,252,72252B,0002411,108,36,0.26,300,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,300,0,N,00003471537OSG1
2018-06-26,09:34:01,6145590100010CB3,252,252,72252B,0002027,CCC,37,0.29,1200,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,5000,900,N,00003471506OSG1
2018-06-26,09:34:01,6145590100010CDC,252,252,72252B,0002411,108,37,0.29,1200,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,1200,0,N,00003471538OSG1
2018-06-26,09:42:16,6145590100010D4D,252,252,72252B,0002001,108,38,0.32,500,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,500,0,N,00003471596OSG1
2018-06-26,09:42:16,6145590100010D4E,252,252,72252B,0002014,CCC,38,0.32,500,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,8000,7500,N,00003471597OSG1
2018-06-26,09:47:38,6145590100010DCB,252,252,72252B,0002411,108,39,0.3,21,S,E5H_US,Golden Agri-Res,UNIT,SGD,Cash,DAY,99,78,N,00003471610OSG1
2018-06-26,09:47:38,6145590100010DCE,252,252,72252B,0002001,108,39,0.3,21,B,E5H_US,Golden Agri-Res,UNIT,SGD,Cash,DAY,21,0,N,00003471611OSG1
2018-06-26,09:49:12,6145590100010DD7,252,252,72252B,0002411,108,41,0.27,44,S,NS8U_US,HPH Trust USD,UNIT,USD,Unit Trusts,DAY,44,0,N,00003471614OSG1
